	id	label	ano		source	doi	cluster	weight<Links>	weight<Total link strength>	weight<Citations>					
ando rk (2005) - project data into low-dimension space to make domains more similar - SVD----- cluster:1	709	ando rk	2005		 j mach learn res,  v6		1	68	44	44	project data into low-dimension space to make domains more similar - SVD			auxiliary classifiers to domain adaptation	
	872	argyriou a	2008		 mach learn,  v73	 10.1007/s10994-007-5040-8	1	49	20	21					
	1607	belkin m	2006		 j mach learn res,  v7		2	67	36	39					
ben-david s (2010) - distribution similarity----- cluster:2	1673	ben-david s	2010		 mach learn,  v79	 10.1007/s10994-009-5152-4	2	63	22	22	distribution similarity				
	1697	ben-david shai	2007		 adv neural inform pr,  p137	 10.1007/s10994-009-5152-4	2	65	27	27					
bengio y (2009) - curriculum learning -> simple to complex representations----- cluster:3	1735	bengio y	2009		 found trends mach le,  v2	 10.1561/2200000006	3	52	30	31	curriculum learning -> simple to complex representations				
bengio y (2013) - review representation learning----- cluster:3	1739	bengio y	2013		 ieee t pattern anal,  v35	 10.1109/tpami.2013.50	3	69	29	29	review representation learning				
	2084	bishop cm.	2006		 pattern recognition, 		1	52	20	23					
blitzer j. (2006) - wightning ->domain adaptation----- cluster:1	2179	blitzer j.	2006		 p 2006 c emp meth na,  p120		1	75	75	76	wightning ->domain adaptation			auxiliary classifiers to domain adaptation	
	2227	blum a.	1998		 proceedings of the eleventh annual conference on computational learning theory,  p92	 10.1145/279943.279962	1	57	25	26					
	2363	borgwardt km	2006		 bioinformatics,  v22	 10.1093/bioinformatics/btl242	2	66	27	29					
	2590	breiman l	2001		 mach learn,  v45	 10.1023/a:1010933404324	1	71	25	25					
bruzzone l (2010) - DA SVM -> accuracy assessment for validating learning when no labels of target domain----- cluster:2	2723	bruzzone l	2010		 ieee t pattern anal,  v32	 10.1109/tpami.2009.57	2	65	48	48	DA SVM -> accuracy assessment for validating learning when no labels of target domain				
caruana r (1997) - MTL introduces an inductive bias provided by the auxiliary tasks ->chapter on multitask learning - hard parameter sharing----- cluster:1	3156	caruana r	1997		 mach learn,  v28	 10.1023/a:1007379606734	1	76	82	90	MTL introduces an inductive bias provided by the auxiliary tasks ->chapter on multitask learning - hard parameter sharing				
chang cc (2011) - LIBSVM: A library for support vector machines----- cluster:1	3348	chang cc	2011		 acm t intel syst tec,  v2	 10.1145/1961189.1961199	1	83	55	58	LIBSVM: A library for support vector machines				
chapelle o. (2006) - semi-supervised learning -> overview----- cluster:1	3409	chapelle o.	2006		 semisupervised learn, 		1	38	20	21	semi-supervised learning -> overview				
	4351	cortes c	1995		 mach learn,  v20	 10.1023/a:1022627411411	1	73	33	33					
